,TIME,POSICAO,NOME,PRECO,VALORIZACAO,PONTOS,MEDIA,JOGOS,RODADA,G,A,FT,FD,FF,FS,PP,I,PI,PS,SG,DP,DE,DS,GC,CV,CA,GS,FC,PC,NOME_ID,TIME_ID,POSICAO_ID,CAP
85,Coritiba,Zagueiro,Luciano Castán,6.34,1.34,4.6,4.6,1,1,,,,,,2.0,,,1.0,,1.0,,,,,,1.0,,1.0,,68942,294,3,0.0
86,Flamengo,Lateral,Matheuzinho,6.21,1.21,4.4,4.4,1,1,,,,,1.0,,,,6.0,,,,,4.0,,,,,2.0,,101727,262,2,0.0
87,Bragantino,Atacante,Helinho,6.47,-0.53,2.8,2.8,1,1,,,,,1.0,2.0,,,2.0,,,,,1.0,,,,,,,102598,280,5,0.0
88,Athlético-PR,Meia,Hugo Moura,4.29,0.29,2.5,2.5,1,1,,,,,,2.0,,,6.0,,,,,2.0,,,,,1.0,,101594,293,4,0.0
89,Corinthians,Zagueiro,João Victor,3.7,-1.3,0.6,0.6,1,1,,,,,,,,,2.0,,,,,2.0,,,1.0,,2.0,,104250,264,3,0.0
90,Ceará,Meia,Vina,4.62,-0.38,2.0,2.0,1,1,,,1.0,,1.0,3.0,,,12.0,,,,,1.0,,1.0,,,1.0,,71162,354,4,0.0
91,América-MG,Meia,Lucas Kal,2.77,-2.23,-0.8,-0.8,1,1,,,,,,,,,5.0,,,,,,,,,,1.0,,95662,327,4,0.0
92,Juventude,Atacante,Ricardo Bueno,7.33,0.33,4.1,4.1,1,1,,,,1.0,,2.0,,2.0,3.0,,,,,2.0,,,,,,,69141,286,5,0.0
93,Outros,Técnico,Glauber Ramos,2.14,0.14,1.25,1.25,1,1,,,,,,,,,,,,,,,,,,,,,109638,1,6,0.0
94,Goiás,Goleiro,Tadeu,4.62,-0.38,2.0,2.0,1,1,,,,,,,,,,,,,5.0,,,,,3.0,,,82453,290,1,0.0
95,Palmeiras,Lateral,Jorge,1.12,-4.88,-4.3,-4.3,1,1,,,,,,,,,3.0,,,,,,1.0,,1.0,,,,88065,275,2,0.0
96,Atlético-GO,Meia,Wellington Rato,9.94,-0.43,-0.1,5.3,2,2,,,,,,1.0,,1.0,5.0,,,,,,,,,,,,82766,373,4,0.0
97,Corinthians,Lateral,Lucas Piton,17.6,6.7,17.9,14.2,2,2,,1.0,,,,,,,8.0,,1.0,,,8.0,,,,,3.0,,105584,264,2,0.0
98,Avaí,Zagueiro,Bressan,7.34,1.26,3.7,4.95,2,2,,,1.0,,,2.0,,,3.0,,,,,,,,,,,,72491,314,3,0.0
99,Coritiba,Atacante,Alef Manga,9.44,-0.01,3.6,5.05,2,2,,,,1.0,2.0,,,,6.0,,,,,1.0,,,1.0,,2.0,,101254,294,5,3.6
100,Juventude,Meia,Chico,6.18,0.63,3.6,3.5,2,2,,,,,,3.0,,,,,,,,2.0,,,,,1.0,,82407,286,4,0.0
101,Avaí,Zagueiro,Arthur Chaves,4.13,0.89,2.1,3.0,2,2,,,,,,,,,3.0,,,,,2.0,,,,,,,111412,314,3,0.0
102,Flamengo,Meia,Gomes,13.25,3.94,11.5,9.8,2,2,,1.0,,,,7.0,,,2.0,,,,,4.0,,,1.0,,2.0,,107109,262,4,0.0
103,Atlético-GO,Lateral,Dudu,9.03,-0.61,0.3,4.45,2,2,,,,,,,,1.0,7.0,,,,,2.0,,,1.0,,1.0,,97133,373,2,0.0
104,Ceará,Atacante,Mendoza,11.69,0.53,3.4,6.65,2,2,,,,2.0,1.0,3.0,,,7.0,,,,,,,,,,2.0,,90031,354,5,0.0
105,Coritiba,Goleiro,Alex Muralha,7.04,1.1,4.0,4.5,2,2,,,,,,,,,,,,,6.0,,,,,2.0,,,79066,294,1,0.0
106,América-MG,Atacante,Everaldo ,9.1,2.56,8.1,6.5,2,2,,1.0,,1.0,1.0,1.0,,,6.0,,,,,1.0,,,,,,,91151,327,5,0.0
107,Cuiabá,Técnico,Pintado,5.86,0.44,1.84,3.52,2,2,,,,,,,,,,,,,,,,,,,,,37424,1371,6,0.0
108,Bragantino,Goleiro,Cleiton,10.23,1.19,8.0,6.33,3,3,,,,,,2.0,,,,,,,8.0,,,,,1.0,,,93882,280,1,0.0
109,Fluminense,Zagueiro,David Braz,6.39,-2.2,-2.0,2.0,2,3,,,,,,,,,4.0,,,,,,,,1.0,,2.0,,50317,266,3,0.0
110,América-MG,Técnico,Vagner Mancini,5.24,-0.09,2.65,4.55,2,3,,,,,,,,,,,,,,,,,,,,,39850,327,6,0.0
111,Flamengo,Atacante,Pedro,8.5,0.15,3.8,2.7,3,3,,,,1.0,2.0,1.0,,1.0,3.0,,,,,1.0,,,,,1.0,,94583,262,5,0.0
112,Atlético-MG,Zagueiro,Junior Alonso,13.43,-1.69,0.6,5.73,3,3,,,,,,,,,6.0,,,,,1.0,,,,,,,88312,282,3,0.0
113,Fluminense,Atacante,Cano,10.01,-0.45,2.5,3.53,3,3,,,,1.0,2.0,1.0,,3.0,5.0,,,,,,,,,,,,79631,266,5,0.0
114,Atlético-MG,Meia,Nacho Fernández,9.32,-0.67,5.2,1.85,2,3,,,,1.0,,1.0,,,3.0,,,,,1.0,,,,,,,94916,282,4,5.2
115,Palmeiras,Atacante,Dudu,11.9,2.48,12.1,4.93,3,3,1.0,,,,1.0,3.0,,,6.0,,,,,2.0,,,,,,,68920,275,5,0.0
116,Atlético-GO,Meia,Wellington Rato,8.96,-0.98,0.0,3.53,3,3,,,,,1.0,,,,8.0,,,,,,,,,,,,82766,373,4,0.0
117,Santos,Lateral,Madson,9.31,2.21,9.7,5.67,3,3,,,,,1.0,1.0,,,2.0,,1.0,,,3.0,,,,,,,78077,277,2,0.0
118,Flamengo,Meia,Lázaro,4.53,-0.48,1.1,2.7,3,3,,,,,,1.0,,,6.0,,,,,1.0,,,,,,,110193,262,4,0.0
119,Atlético-MG,Lateral,Mariano,7.66,-0.05,3.9,5.55,2,3,,,,,,,,,9.0,,,,,4.0,,,,,,,38877,282,2,0.0
120,Ceará,Meia,Vina,3.84,-0.78,1.1,1.55,2,4,,,,,,1.0,,1.0,5.0,,,,,1.0,,,,,,,71162,354,4,0.0
121,Botafogo,Atacante,Erison,11.0,-0.3,1.2,6.9,4,4,,,,,1.0,,,2.0,,,,,,1.0,,,,,2.0,,108422,263,5,0.0
122,Internacional,Zagueiro,Rodrigo Moledo,7.11,0.91,6.7,5.63,3,4,,,,,,1.0,,,,,1.0,,,1.0,,,,,,,63354,285,3,0.0
123,Atlético-GO,Goleiro,Ronaldo,3.69,0.45,3.0,2.25,2,4,,,,,,,,,,,,,4.0,,,,,1.0,,,91101,373,1,0.0
124,Internacional,Técnico,Mano Menezes,7.27,1.15,6.51,6.41,2,4,,,,,,,,,,,,,,,,,,,,,37281,285,6,0.0
125,Corinthians,Atacante,Róger Guedes,16.88,-0.47,4.2,8.32,4,4,,,,1.0,,3.0,,,6.0,,,,,,,,,,,,89898,264,5,4.2
126,Atlético-MG,Meia,Zaracho,14.53,-2.2,1.9,7.43,3,4,,,,1.0,1.0,2.0,,,5.0,,,,,,,,,,2.0,,100079,282,4,0.0
127,Internacional,Meia,Edenílson,11.8,0.34,5.3,5.5,3,4,,,1.0,,2.0,1.0,,,6.0,,,,,2.0,,,1.0,,2.0,,63289,285,4,0.0
