,TIME,POSICAO,NOME,PRECO,VALORIZACAO,PONTOS,MEDIA,JOGOS,RODADA,G,A,FT,FD,FF,FS,PP,I,PI,PS,SG,DP,DE,DS,GC,CV,CA,GS,FC,PC,NOME_ID,TIME_ID,POSICAO_ID,CAP
160,Palmeiras,Meia,Raphael Veiga,13.32,0.23,3.2,5.14,14,14,,,,,1.0,4.0,,,6.0,,,,,1.0,,,,,,,94509,275,4,0.0
161,Atlético-MG,Zagueiro,Junior Alonso,8.07,0.11,4.9,3.33,6,14,,,,1.0,,,,,3.0,,1.0,,,,,,,,2.0,,88312,282,3,0.0
162,Santos,Goleiro,João Paulo,6.14,2.76,13.0,3.33,9,14,,,,,,2.0,,,,,1.0,,7.0,,,,,,,,85425,277,1,0.0
163,Atlético-GO,Técnico,Eduardo Barroca,9.22,-0.53,1.68,3.3,13,14,,,,,,,,,,,,,,,,,,,,,77774,373,6,0.0
164,Santos,Lateral,Madson,5.97,1.04,6.6,2.7,13,14,,,,,,1.0,,,9.0,1.0,1.0,,,1.0,,,,,,,78077,277,2,0.0
165,Flamengo,Atacante,Gabriel,19.18,0.61,13.6,11.53,3,14,,1.0,,1.0,1.0,1.0,,,7.0,,,,,,,,,,,,83257,262,5,13.6
166,Fortaleza,Meia,Éderson,13.4,-0.17,6.4,7.18,13,14,,,,,,1.0,,,1.0,,,,,6.0,,,,,,,103099,356,4,0.0
167,Fortaleza,Atacante,Robson,12.87,-1.21,4.1,5.16,14,14,,,,1.0,2.0,2.0,,,2.0,,,,,1.0,,,,,1.0,,84817,356,5,0.0
168,Flamengo,Meia,Arrascaeta,13.08,-0.85,2.4,7.56,7,15,,,,,1.0,2.0,,,9.0,,,,,2.0,,,,,1.0,,87863,262,4,0.0
169,Athlético-PR,Meia,Terans,12.08,1.51,9.9,6.37,13,15,,1.0,,3.0,1.0,,,,15.0,,,,,2.0,,,,,,,102878,293,4,0.0
170,Ceará,Lateral,Bruno Pacheco,6.41,1.35,7.4,2.38,13,15,,,,,,4.0,,,6.0,,1.0,,,2.0,,,,,2.0,,90061,354,2,0.0
171,Grêmio,Técnico,Luiz Felipe Scolari,7.63,0.6,3.7,3.93,5,15,,,,,,,,,,,,,,,,,,,,,43618,284,6,0.0
172,Palmeiras,Meia,Gustavo Scarpa,14.34,0.29,3.1,5.89,15,15,,1.0,,,,1.0,,,9.0,,,,,,,,,,3.0,,87999,275,4,0.0
173,Flamengo,Lateral,Filipe Luís,8.03,0.37,4.8,3.76,13,15,,,,,,2.0,,,7.0,,,,,5.0,,,,,1.0,,38750,262,2,0.0
174,Grêmio,Goleiro,Gabriel Chapecó,3.91,-0.17,0.0,5.63,8,15,,,,,,,,,,,,,1.0,,,,,1.0,,,112616,284,1,0.0
175,Flamengo,Atacante,Gabriel,17.0,-2.18,-10.6,7.32,4,15,,,,,1.0,,,1.0,6.0,,,,,,,1.0,,,,,83257,262,5,-10.6
176,Atlético-MG,Atacante,Hulk,22.32,-1.27,9.8,8.3,14,15,1.0,,,,1.0,3.0,,,5.0,,,,,,,,,,,,39148,282,5,0.0
177,Grêmio,Zagueiro,Pedro Geromel,7.8,0.48,2.1,2.93,12,15,,,1.0,,,,,,4.0,,,,,,,,,,1.0,,80853,284,3,0.0
178,Flamengo,Atacante,Bruno Henrique,19.22,-1.18,4.3,8.9,11,15,,,,1.0,,5.0,,,4.0,,,,,2.0,,,,,2.0,,90285,262,5,0.0
179,Ceará,Zagueiro,Messias,3.6,0.76,5.0,2.4,15,15,,,,,1.0,1.0,,,3.0,,1.0,,,,,,,,2.0,,87402,354,3,0.0
180,Fortaleza,Meia,Éderson,13.24,0.41,4.2,6.65,15,16,,,,,2.0,2.0,,,4.0,,,,,3.0,,,,,2.0,,103099,356,4,0.0
181,América-MG,Goleiro,Matheus Cavichioli,6.58,-0.48,3.0,3.16,13,16,,,,,,,,,,,,,4.0,,,,,1.0,,,72580,327,1,0.0
182,Flamengo,Atacante,Pedro,12.8,0.61,5.5,4.83,12,16,,,,2.0,3.0,,,1.0,3.0,,,,,2.0,,,,,1.0,,94583,262,5,0.0
183,Flamengo,Lateral,Filipe Luís,8.69,0.66,7.2,4.01,14,16,,,,1.0,,,,,5.0,,1.0,,,2.0,,,,,1.0,,38750,262,2,0.0
184,Flamengo,Zagueiro,Willian Arão,11.08,0.51,4.7,3.82,14,16,,,,,,,,,3.0,,1.0,,,3.0,,,1.0,,2.0,,78478,262,3,0.0
185,Corinthians,Zagueiro,João Victor,7.59,-0.93,1.8,3.58,15,16,,,,,,3.0,,,7.0,,,,,2.0,,,,,2.0,,104250,264,3,0.0
186,Internacional,Lateral,Saravia,7.2,-0.87,2.8,4.25,10,16,,,,1.0,1.0,1.0,,,2.0,,,,,1.0,,,,,1.0,,96725,285,2,0.0
187,Atlético-MG,Meia,Nacho Fernández,11.45,-1.13,-0.4,4.83,9,16,,,,,,3.0,,,14.0,,,,,2.0,,,1.0,,1.0,,94916,282,4,0.0
188,Flamengo,Meia,Arrascaeta,14.1,1.02,7.5,7.55,8,16,,1.0,,3.0,,,,,11.0,,,,,,,,,,,,87863,262,4,0.0
189,Flamengo,Técnico,Renato Gaúcho,14.73,1.31,7.25,6.07,5,16,,,,,,,,,,,,,,,,,,,,,41929,262,6,0.0
190,Flamengo,Atacante,Bruno Henrique,19.7,0.48,12.6,8.68,12,16,1.0,,,,,1.0,,,2.0,,,,,1.0,,,1.0,,2.0,,90285,262,5,12.6
191,Bragantino,Atacante,Alerrandro,5.67,0.07,1.5,3.75,8,16,,,,,1.0,1.0,,,3.0,,,,,2.0,,,,,3.0,,101715,280,5,0.0
192,Atlético-GO,Lateral,Arnaldo,7.33,-0.78,3.6,4.03,10,17,,,,,1.0,2.0,,,7.0,,,,,3.0,,,,,1.0,,78497,373,2,0.0
193,Palmeiras,Meia,Raphael Veiga,13.26,0.59,3.8,4.71,16,17,,,,1.0,3.0,1.0,,,13.0,,,,,2.0,,,,,2.0,,94509,275,4,0.0
194,Flamengo,Atacante,Gabriel,17.82,0.82,4.0,6.26,5,17,,,,1.0,2.0,,,,8.0,,,,,,,,,,,,83257,262,5,4.0
195,Grêmio,Meia,Alisson,6.57,0.49,4.0,2.99,9,17,,,,1.0,2.0,4.0,,,8.0,,,,,,,,,,,,81845,284,4,0.0
196,Fortaleza,Meia,Lucas Crispim,8.56,0.56,7.1,4.41,14,17,,1.0,,,,,,,9.0,,,,,3.0,,,,,,,88597,356,4,0.0
197,Palmeiras,Zagueiro,Renan,5.72,0.14,1.6,4.03,12,17,,,,,1.0,,,,2.0,,,,,1.0,,,,,,,109963,275,3,0.0
198,Atlético-MG,Atacante,Hulk,21.54,0.28,4.5,7.71,16,17,,,1.0,2.0,2.0,2.0,,,5.0,,,,,1.0,,,1.0,,2.0,1.0,39148,282,5,0.0
199,Grêmio,Goleiro,Gabriel Chapecó,5.49,1.21,8.0,5.51,10,17,,,,,,,,,,,1.0,,3.0,,,,,,,,112616,284,1,0.0
200,Bragantino,Lateral,Aderlan,14.54,0.81,11.2,6.19,12,17,,1.0,,1.0,,1.0,,,5.0,,1.0,,,1.0,,,,,2.0,,88423,280,2,0.0
201,Palmeiras,Zagueiro,Gustavo Gómez,11.22,0.54,3.9,3.83,9,17,,,,,2.0,,,1.0,2.0,,,,,3.0,,,,,,,71684,275,3,0.0
202,Palmeiras,Técnico,Abel Ferreira,11.76,0.17,2.45,4.24,17,17,,,,,,,,,,,,,,,,,,,,,110506,275,6,0.0
203,Palmeiras,Atacante,Dudu,11.48,1.11,7.1,1.48,5,17,,,,3.0,1.0,7.0,,1.0,13.0,,,,,1.0,,,,,,,68920,275,5,0.0
204,Palmeiras,Atacante,Dudu,10.75,-0.73,2.6,1.67,6,18,,,,,2.0,4.0,,,5.0,,,,,,,,,,1.0,,68920,275,5,0.0
205,Fortaleza,Meia,Éderson,12.52,-0.96,0.0,6.16,17,18,,,,,,,,,,,,,,1.0,,,,,2.0,,103099,356,4,0.0
206,Atlético-MG,Atacante,Hulk,21.26,-0.28,3.8,7.48,17,18,,,,1.0,3.0,2.0,,,3.0,,,,,1.0,,,,,3.0,,39148,282,5,0.0
207,Flamengo,Atacante,Gabriel,22.25,4.43,52.8,9.62,6,18,3.0,,,2.0,1.0,1.0,,,3.0,,,,,,,,,,2.0,,83257,262,5,52.8
208,Atlético-MG,Lateral,Guilherme Arana,8.58,-0.36,3.3,4.17,11,18,,,,1.0,1.0,3.0,,,12.0,,,,,2.0,,,,,2.0,,87228,282,2,0.0
209,Palmeiras,Zagueiro,Gustavo Gómez,10.7,-0.52,1.2,3.57,10,18,,,,,,,,1.0,3.0,,,,,2.0,,,,,,,71684,275,3,0.0
210,Fortaleza,Meia,Lucas Crispim,7.99,-0.57,3.2,4.33,15,18,,,,,2.0,3.0,,,14.0,,,,,2.0,,,,,1.0,,88597,356,4,0.0
211,Flamengo,Lateral,Filipe Luís,9.4,-0.48,7.6,4.74,16,18,,,,,,,,,4.0,,1.0,,,3.0,,,,,,,38750,262,2,0.0
212,Flamengo,Meia,Arrascaeta,13.08,-1.02,1.9,6.92,9,18,,,,1.0,2.0,3.0,,,9.0,,,,,,,,,,3.0,,87863,262,4,0.0
213,Fortaleza,Técnico,Juan Vojvoda,10.59,0.39,4.46,4.29,18,18,,,,,,,,,,,,,,,,,,,,,104754,356,6,0.0
214,Fluminense,Zagueiro,Nino,10.61,0.7,5.0,4.34,11,18,,,,,,2.0,,,5.0,,1.0,,,2.0,,,1.0,,1.0,,91708,266,3,0.0
215,Sport,Goleiro,Maílson,8.54,0.94,7.5,4.77,17,18,,,,,,1.0,,,,,1.0,,2.0,,,,,,,,98034,292,1,0.0
216,Athlético-PR,Atacante,Bissoli,4.9,-1.46,0.6,3.17,3,19,,,,,,,,,2.0,,,,,1.0,,,,,1.0,,100762,293,5,0.6
217,Athlético-PR,Meia,Nikão,8.74,-0.59,0.4,4.68,12,19,,,,,,3.0,,,16.0,,,,,3.0,,,1.0,,1.0,,69705,293,4,0.0
218,Corinthians,Atacante,Jô,8.41,-0.43,4.7,4.19,16,19,,,1.0,,,2.0,,,3.0,,,,,1.0,,,,,,,38138,264,5,0.0
219,Santos,Lateral,Felipe Jonatan,8.86,0.04,-0.2,3.2,17,19,,,,,,1.0,,,7.0,,,,,1.0,,,,,2.0,,101708,277,2,0.0
220,Athlético-PR,Goleiro,Bento,3.6,1.36,8.0,1.58,6,19,,,,,,,,,,,1.0,,3.0,,,,,,,,105208,293,1,0.0
221,Fortaleza,Meia,Éderson,12.77,0.25,3.1,5.99,18,19,,,,,1.0,2.0,,,7.0,,,,,2.0,,,,,,,103099,356,4,0.0
222,Fluminense,Zagueiro,Luccas Claro,9.65,-0.78,2.2,2.72,15,19,,,,,,1.0,,,3.0,,,,,2.0,,,,,,,73465,266,3,0.0
223,Corinthians,Zagueiro,João Victor,8.0,-0.57,3.0,3.79,18,19,,,,,1.0,,,,8.0,,,,,3.0,,,,,,,104250,264,3,0.0
224,Fortaleza,Atacante,Robson,12.3,-0.03,2.4,4.34,19,19,,,,,3.0,1.0,,,5.0,,,,,1.0,,,,,,1.0,84817,356,5,0.0
225,Fortaleza,Meia,Yago Pikachu,18.8,0.56,10.9,5.59,18,19,1.0,,,1.0,,2.0,,,3.0,,,,,1.0,,,,,,,80196,356,4,0.0
226,Corinthians,Técnico,Sylvinho,7.89,-0.32,2.6,3.53,19,19,,,,,,,,,,,,,,,,,,,,,106047,264,6,0.0
227,Corinthians,Lateral,Fábio Santos,10.54,-0.68,1.8,3.35,17,19,,,,,1.0,2.0,,,5.0,,,,,2.0,,,,,3.0,,38229,264,2,0.0
228,Internacional,Meia,Edenílson,18.03,-0.26,-1.1,5.86,18,20,,,,,,,,,6.0,,,,,,,,,,1.0,,63289,285,4,0.0
229,Internacional,Zagueiro,Víctor Cuesta,8.03,0.18,5.6,2.64,18,20,,,,,,1.0,,,4.0,,1.0,,,1.0,,,,,1.0,,79113,285,3,0.0
230,Santos,Atacante,Léo Baptistão ,7.89,-1.45,-0.7,3.65,2,20,,,,,,1.0,,,7.0,,,,,1.0,,,,,3.0,,81161,277,5,0.0
231,Bragantino,Atacante,Artur,15.22,-0.09,2.9,5.32,17,20,1.0,,,,,1.0,,,6.0,,,,,,,1.0,,,,,95799,280,5,0.0
232,Grêmio,Meia,Villasanti,7.25,-0.69,1.2,4.83,3,20,,,,,,,,,3.0,,,,,2.0,,,,,1.0,,97145,284,4,0.0
233,Bragantino,Técnico,Maurício Barbieri,13.21,-0.26,1.43,4.45,18,20,,,,,,,,,,,,,,,,,,,,,82792,280,6,0.0
234,Atlético-MG,Atacante,Hulk,20.65,-0.61,3.2,7.15,18,20,,,,1.0,,3.0,,,6.0,,,,,,,,,,1.0,,39148,282,5,3.2
235,Grêmio,Lateral,Rafinha,9.64,0.23,3.6,2.81,12,20,,,,,,1.0,,,4.0,,1.0,,,,,,,,3.0,,38144,284,2,0.0
236,Atlético-MG,Meia,Zaracho,9.76,0.76,10.8,4.48,15,20,1.0,,,,,,,,2.0,,,,,4.0,,,,,2.0,,100079,282,4,0.0
237,Bragantino,Zagueiro,Léo Ortiz,7.6,0.02,-0.8,3.03,11,20,,,,,,,,,8.0,,,,,1.0,,,,,2.0,,97867,280,3,0.0
238,Internacional,Goleiro,Daniel,8.48,0.38,8.0,4.79,17,20,,,,,,,,,,,1.0,,3.0,,,,,,,,96468,285,1,0.0
239,Palmeiras,Lateral,Marcos Rocha,8.21,0.06,3.4,3.17,13,20,,,,,,,,,16.0,,,,,5.0,,,,,,,63013,275,2,0.0
